Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
91	24.609148	10.047529	33.340626	1.6269015	589.8889	3.0269375	2.264759	7.2316303	0.25532067	552000	1.9868216e-08	21.115927	-0.0008034818	-8.8356085	0.56513697	0.019206494	0.27616668	3.0	4455.408456325531
92	28.991627	5.448244	33.711117	10.443471	319.23077	4.364072	1.864875	7.028483	-0.23740008	558000	0.0	23.2895	-0.0003406407	-10.508466	0.5654104	0.016541768	0.25683334	7.0	4521.253723144531
93	25.366705	9.805394	33.914066	-0.37769616	425.45456	7.0409207	2.5601451	10.677422	1.3895082	564000	2.9802322e-08	29.488024	-0.0065543503	-18.47241	0.5662614	0.006198494	0.082499996	79.0	4589.512117147446
94	30.616137	1.5392523	35.73498	29.603172	323.06668	5.571833	2.2908978	9.864207	1.6445735	570000	6.208817e-09	17.446127	-0.0066536483	-3.3922093	0.55644333	0.0065998794	0.072000004	79.0	4666.568724155426
95	27.729372	7.5534444	31.607004	1.624775	301.53845	7.4151707	2.1091607	11.134438	2.9178991	576000	-1.4901161e-08	28.530615	-0.006304369	-19.285309	0.5606013	0.005902165	0.068500005	79.0	4736.981684446335
96	27.162035	8.074667	30.724491	1.6485678	296.81818	5.634202	3.4727435	14.063787	1.0333074	582000	1.9868216e-08	13.683923	-0.0062005534	-7.4484696	0.5431826	0.0055750594	0.061000004	79.0	4817.2057547569275
97	22.706774	11.732656	30.72428	0.32578963	341.72726	4.718536	3.1037872	13.772364	-0.01709656	588000	4.967054e-09	12.459231	-0.005588819	-2.6374013	0.5405911	0.0052925763	0.090166666	79.0	4898.134759902954
98	30.089989	1.2978084	35.00502	29.362717	264.4375	6.410677	3.5168073	13.383785	-0.3249907	594000	2.7318796e-08	11.390483	-0.007387891	-2.943268	0.53782636	0.007781056	0.10783333	79.0	4978.590185642242
99	28.889044	3.7921972	30.763527	12.02505	245.19048	8.159277	3.0735254	14.683839	0.70270324	600000	9.934108e-09	12.359181	-0.0072863344	-6.60833	0.52787006	0.009530489	0.09966666	79.0	5059.969360113144
100	26.626072	8.079548	34.19283	-0.377125	228.17392	8.930308	3.484886	16.564758	1.5370831	606000	0.0	25.387465	-0.0068591572	-14.887208	0.51946807	0.006598182	0.082666665	79.0	5144.501741409302
101	28.421942	3.4729297	30.071272	15.028808	243.0	6.5356326	4.1062756	16.285858	0.65112317	612000	4.967054e-09	11.693629	0.001073564	-2.278991	0.51414263	0.028825631	0.32783332	2.0	5224.156809806824
102	27.86898	5.8315225	32.832527	8.6501	233.27272	9.462452	3.7534595	16.549095	-3.3619838	618000	-9.934108e-09	16.98522	-0.0015360862	-7.7123046	0.5140092	0.015769867	0.27183333	3.0	5303.417882680893
103	29.176586	0.1761402	29.571634	28.888647	179.2	8.065198	3.7630386	17.50096	0.09454158	624000	1.9868216e-08	10.60124	0.00039702156	-6.600427	0.51370835	0.016426766	0.205	4.0	5391.477287769318
104	23.238094	10.70569	29.237476	1.5753167	299.15384	6.829893	3.2305892	18.573149	1.0413092	630000	-2.9802322e-08	17.120918	-0.007881054	-12.248431	0.51336205	0.0023148875	0.085666664	79.0	5476.954885005951
105	27.983229	5.2802405	29.4376	1.5912548	198.88461	8.155392	5.2127185	18.522186	0.040354952	636000	1.2417634e-08	8.161109	-0.0068193455	-2.364048	0.51183915	0.0048647365	0.07683334	79.0	5572.104822397232
106	27.179882	5.7300043	29.330326	8.821297	177.71875	11.264192	3.7706795	19.968563	2.3427348	642000	9.934108e-09	20.024748	-0.0031862222	-12.403211	0.5128807	0.005111401	0.09266666	79.0	5666.549926996231
107	27.057121	5.830127	29.466328	8.568925	169.53125	10.195956	4.296743	19.002357	-3.449343	648000	9.934108e-09	6.0057406	-0.006106578	-0.5667868	0.5049681	0.004974213	0.061333332	79.0	5766.107750415802
108	28.310293	3.3614953	29.27058	8.733838	159.97144	10.535371	3.867349	18.627813	-4.6604605	654000	2.483527e-09	4.6183014	-0.006259412	-2.8086026	0.50279874	0.010400704	0.07916666	79.0	5865.413832902908
109	28.113691	3.706533	28.982569	8.159858	150.96666	11.699835	3.282391	20.054895	-0.32450458	660000	0.0	21.661995	-0.0063744015	-16.176096	0.49398932	0.007700013	0.097500004	79.0	5964.263237476349
110	28.150723	3.4578447	29.238491	8.917811	148.0625	10.70789	4.14717	20.15801	0.20707592	666000	2.2351742e-08	7.5134225	-0.0018665915	-3.0134518	0.49132928	0.017610973	0.22783335	4.0	6065.111741065979
111	27.642548	4.459227	28.838657	8.420563	143.74359	11.40215	3.7176878	19.774527	-1.7466165	672000	-2.4835268e-08	4.8647614	-0.007112747	-1.5618343	0.4908408	0.009656259	0.09583333	79.0	6172.381852388382
112	26.916447	5.698769	29.274303	8.198102	142.97144	11.635499	3.5126235	20.054922	-1.0254273	678000	-9.934108e-09	16.569036	0.0009025149	-6.9732594	0.47660223	0.020144595	0.28766665	2.0	6276.606119155884
